지역분류,제품코드,구분(맛),구분(패키지),제품명(한국어),제품명(러시아어)
내수용,2143,오리지날,48봉,내수용오리지날48봉,ЧП 48
내수용,2140,오리지날,16봉,내수용오리지날16봉,ЧП 16
내수용,112,오리지날,12봉,내수용오리지날12봉,ЧП 12
내수용,113,오리지날,6봉,내수용오리지날6봉,ЧП 6
내수용,114,오리지날,4봉,내수용오리지날4봉,ЧП 4 
내수용,1676,카카오,12봉,내수용카카오12봉,Какао 12
내수용,1675,카카오,6봉,내수용카카오6봉,Какао 6
내수용,1680,바나나,12봉,내수용바나나12봉,Банан 12
내수용,1679,바나나,6봉,내수용바나나6봉,Банан 6
내수용,1684,딸기,12봉,내수용딸기12봉,Клубника 12
내수용,1683,딸기,6봉,내수용딸기6봉,Клубника 6
내수용,2154,치즈,12봉,내수용치즈12봉,СЫР 12
내수용,2153,치즈,6봉,내수용치즈6봉,СЫР 6
내수용,2141,아망테,12봉,내수용아망테12봉,Аманте 12
내수용,2142,아망테,6봉,내수용아망테6봉,Аманте 6
카작용,1672,오리지날,6봉,카작용오리지날6봉,ЧП6
카작용,1673,오리지날,12봉,카작용오리지날12봉,ЧП12
카작용,1677,카카오,6봉,카작용카카오6봉,Какао 6
카작용,1678,카카오,12봉,카작용카카오12봉,Какао 12
카작용,1681,바나나,6봉,카작용바나나6봉,Банан 6
카작용,1682,바나나,12봉,카작용바나나12봉,Банан 12 
카작용,1689,딸기,6봉,카작용딸기6봉,Клубника 6
카작용,1690,딸기,12봉,카작용딸기12봉,Клубника 12
카작용,2157,치즈,6봉,카작용치즈6봉,СЫР 6
카작용,2158,치즈,12봉,카작용치즈12봉,СЫР 12
벨라루스용,2160,오리지날,6봉,벨라루스용오리지날6봉,ЧП6
벨라루스용,2161,오리지날,12봉,벨라루스용오리지날12봉,ЧП12
벨라루스용,2162,카카오,6봉,벨라루스용카카오6봉,Какао 6
소머리,2159,오리지날,48봉,소머리오리지날48봉,ЧП 48
소머리,2145,오리지날,12봉,소머리오리지날12봉,ЧП 12
소머리,2146,오리지날,6봉,소머리오리지날6봉,ЧП 6
소머리,2144,오리지날,4봉,소머리오리지날4봉,ЧП 4 
소머리,2148,카카오,12봉,소머리카카오12봉,Какао 12
소머리,2147,카카오,6봉,소머리카카오6봉,Какао 6
소머리,2150,바나나,12봉,소머리바나나12봉,Банан 12
소머리,2149,바나나,6봉,소머리바나나6봉,Банан 6
소머리,2152,딸기,12봉,소머리딸기12봉,Клубника 12
소머리,2151,딸기,6봉,소머리딸기6봉,Клубника 6
소머리,2156,치즈,12봉,소머리치즈12봉,СЫР 12
소머리,2155,치즈,6봉,소머리치즈6봉,СЫР 6